노선,노선,노선,운항(편),여객(명),화물(톤)
159,인천(ICN),울란바토르(ULN),"1,604","364,491","10,463"
160,인천(ICN),울란우태(UUD),52,"3,245",43
161,인천(ICN),워싱턴 둘리스(IAD),728,"171,704","12,509"
162,인천(ICN),원산갈마(WOS),1,0,0
163,인천(ICN),원저우(WNZ),324,"42,828",612
164,인천(ICN),웨이하이(WEH),"3,722","570,990","10,262"
165,인천(ICN),이루크츠크(IKT),338,"40,124",513
166,인천(ICN),이바라키(IBR),144,"17,610",161
167,인천(ICN),이스탄불(IST),"2,135","513,618","37,120"
168,인천(ICN),이시가키(ISG),28,"3,701",31
169,인천(ICN),인디아나폴리스(IND),258,0,0
170,인천(ICN),자그레브(ZAG),60,"14,215",364
171,인천(ICN),자무쓰(JMU),226,"30,219",441
172,인천(ICN),자카르타(CGK),"2,180","495,697","35,033"
173,인천(ICN),장춘(CGQ),"1,724","277,888","4,999"
174,인천(ICN),정저우(CGO),804,"89,744","7,594"
175,인천(ICN),조호바루(JHB),329,"65,609",757
176,인천(ICN),지난(TNA),"2,188","278,394","4,209"
177,인천(ICN),창사(CSX),"1,915","341,840","8,068"
178,인천(ICN),천진(TSN),"4,944","523,463","68,871"
179,인천(ICN),청도(TAO),"12,008","1,739,464","39,617"
180,인천(ICN),청두(CTU),"1,498","218,987","5,179"
181,인천(ICN),총킹(중경)(CKG),"1,080","141,572","9,299"
182,인천(ICN),취리히(ZRH),315,"57,455","3,799"
183,인천(ICN),치앙마이(CNX),696,"152,639","2,869"
184,인천(ICN),카고시마(KOJ),"1,000","139,410","1,543"
185,인천(ICN),카불 로워시(KBL),2,0,0
186,인천(ICN),카옌로 샹부(CAY),1,0,41
187,인천(ICN),카오슝(KHH),"2,194","340,074","5,122"
188,인천(ICN),카투만두(KTM),381,"72,619","3,183"
189,인천(ICN),칼리보(KLO),"2,497","336,635","3,395"
190,인천(ICN),캐언스(CNS),18,"4,811",69
191,인천(ICN),"코로르,팔라우(ROR)",497,"52,786",846
192,인천(ICN),코타키나발루(BKI),"3,640","667,127","6,849"
193,인천(ICN),쿠알라룸푸르(KUL),"3,714","1,037,578","49,159"
194,인천(ICN),쿠웨이트(KWI),2,0,0
195,인천(ICN),쿤밍(KMG),774,"78,724","1,562"
196,인천(ICN),크라스노얄스크(KJA),19,58,842
197,인천(ICN),클라크 필드(CRK),"2,034","329,680","5,705"
198,인천(ICN),클래스고(GLA),3,315,6
199,인천(ICN),키타큐슈(KKJ),"1,170","166,550","1,282"
200,인천(ICN),타쉬켄트(TAS),"1,208","252,628","12,761"
201,인천(ICN),타이난(TNN),1,0,0
202,인천(ICN),타크빌라란(TAG),573,"63,268",714
203,인천(ICN),테키르다(TEQ),2,0,54
204,인천(ICN),텔아비브(TLV),312,"56,784","3,126"
205,인천(ICN),토론토(YYZ),"1,319","338,667","24,521"
206,인천(ICN),퉁치(TXN),300,"21,741",291
207,인천(ICN),트빌리시(TBS),3,557,10
208,인천(ICN),파라구에(PRG),739,"190,823","9,849"
209,인천(ICN),파리(CDG),"2,362","661,341","45,731"
210,인천(ICN),팔레르모(PMO),4,761,13
211,인천(ICN),퍼스(PER),2,0,109
212,인천(ICN),페낭(PEN),568,0,"24,137"
213,인천(ICN),페르가나(FEG),2,317,12
214,인천(ICN),평양(FNJ),5,185,160
215,인천(ICN),푸동(PVG),"12,874","1,862,668","254,983"
216,인천(ICN),푸에르토프린세사(PPS),383,"59,139",624
217,인천(ICN),푸켓(HKT),"1,646","434,640","9,277"
218,인천(ICN),푸쿡(PQC),271,"42,296",440
219,인천(ICN),프랑크푸르트(FRA),"4,097","694,657","135,609"
220,인천(ICN),프롬펜(PNH),"1,462","223,550","5,401"
221,인천(ICN),하꼬다데(HKD),10,"1,346",13
222,인천(ICN),하네다(HND),"2,262","382,240","4,532"
223,인천(ICN),하노이(HAN),"10,601","1,847,907","167,087"
224,인천(ICN),하바로보스크(KHV),950,"98,033","1,416"
